Ciudades,Rutas,TotalPremium,LimitePremium,Nanosegundos
6,8,4,0,3003
6,8,4,1,5378
6,8,4,2,7613
6,8,4,3,9847
6,8,4,4,13270
6,8,5,0,3143
6,8,5,1,4888
6,8,5,2,7333
6,8,5,3,9848
6,8,5,4,13409
6,8,5,5,17530
6,8,6,0,3073
6,8,6,1,4819
6,8,6,2,7473
6,8,6,3,9708
6,8,6,4,13270
6,8,6,5,17390
6,8,6,6,21442
6,8,7,0,3143
6,8,7,1,4959
6,8,7,2,7473
6,8,7,3,9848
6,8,7,4,13270
6,8,7,5,17600
6,8,7,6,21581
6,8,7,7,26190
6,8,8,0,3003
6,8,8,1,5029
6,8,8,2,7473
6,8,8,3,9987
6,8,8,4,13200
6,8,8,5,17321
6,8,8,6,21791
6,8,8,7,26190
6,8,8,8,31499
6,9,0,0,3631
6,9,1,0,3562
6,9,1,1,5447
6,9,2,0,3632
6,9,2,1,5517
6,9,2,2,7752
6,9,3,0,3702
6,9,3,1,5377
6,9,3,2,7683
6,9,3,3,10546
6,9,4,0,3422
6,9,4,1,5447
6,9,4,2,7543
6,9,4,3,10546
6,9,4,4,14038
6,9,5,0,3352
6,9,5,1,5448
6,9,5,2,7753
6,9,5,3,10895
6,9,5,4,14108
6,9,5,5,18368
6,9,6,0,3632
6,9,6,1,5866
6,9,6,2,7613
6,9,6,3,10825
6,9,6,4,13688
6,9,6,5,17949
6,9,6,6,22000
6,9,7,0,3632
6,9,7,1,5657
6,9,7,2,7543
6,9,7,3,10546
6,9,7,4,13899
6,9,7,5,18368
6,9,7,6,22000
6,9,7,7,27168
6,9,8,0,3562
6,9,8,1,5447
6,9,8,2,7543
6,9,8,3,10616
6,9,8,4,13758
6,9,8,5,18507
6,9,8,6,22139
6,9,8,7,27099
6,9,8,8,32266
6,9,9,0,3562
6,9,9,1,5587
6,9,9,2,7612
6,9,9,3,10755
6,9,9,4,13759
6,9,9,5,18158
6,9,9,6,22279
6,9,9,7,27238
6,9,9,8,32825
6,9,9,9,38342
6,10,0,0,3771
6,10,1,0,3771
6,10,1,1,5867
6,10,2,0,3771
6,10,2,1,5727
6,10,2,2,8171
6,10,3,0,3771
6,10,3,1,5657
6,10,3,2,7752
6,10,3,3,10895
6,10,4,0,3422
6,10,4,1,5727
6,10,4,2,7962
6,10,4,3,11244
6,10,4,4,14527
6,10,5,0,3492
6,10,5,1,5866
6,10,5,2,8101
6,10,5,3,11034
6,10,5,4,14527
6,10,5,5,18577
6,10,6,0,3772
6,10,6,1,5726
6,10,6,2,8031
6,10,6,3,11035
6,10,6,4,14178
6,10,6,5,18577
6,10,6,6,22768
6,10,7,0,3632
6,10,7,1,5727
6,10,7,2,7892
6,10,7,3,10965
6,10,7,4,14108
6,10,7,5,18717
6,10,7,6,23047
6,10,7,7,27797
6,10,8,0,3771
6,10,8,1,5657
6,10,8,2,7892
6,10,8,3,10965
6,10,8,4,14527
6,10,8,5,18717
6,10,8,6,22838
6,10,8,7,27797
6,10,8,8,33314
6,10,9,0,3771
6,10,9,1,5657
6,10,9,2,7962
6,10,9,3,11035
6,10,9,4,14457
6,10,9,5,18648
6,10,9,6,22699
6,10,9,7,27797
6,10,9,8,33174
6,10,9,9,39181
6,10,10,0,3771
6,10,10,1,5727
6,10,10,2,7822
6,10,10,3,11104
6,10,10,4,14108
6,10,10,5,18926
6,10,10,6,22977
6,10,10,7,27727
6,10,10,8,32825
6,10,10,9,38971
6,10,10,10,45326
6,11,0,0,3771
6,11,1,0,3841
6,11,1,1,5866
6,11,2,0,3841
6,11,2,1,5866
6,11,2,2,8520
6,11,3,0,3841
6,11,3,1,6076
6,11,3,2,8381
6,11,3,3,11384
6,11,4,0,3631
6,11,4,1,5797
6,11,4,2,8241
6,11,4,3,11594
6,11,4,4,14945
6,11,5,0,3492
6,11,5,1,5867
6,11,5,2,8241
6,11,5,3,11384
6,11,5,4,14667
6,11,5,5,19276
6,11,6,0,3841
6,11,6,1,5936
6,11,6,2,8660
6,11,6,3,11315
6,11,6,4,14945
6,11,6,5,19276
6,11,6,6,23467
6,11,7,0,3771
6,11,7,1,5727
6,11,7,2,8241
6,11,7,3,11384
6,11,7,4,15016
6,11,7,5,19346
6,11,7,6,23816
6,11,7,7,28844
6,11,8,0,3702
6,11,8,1,6007
6,11,8,2,8311
6,11,8,3,11873
6,11,8,4,14806
6,11,8,5,20045
6,11,8,6,23816
6,11,8,7,29263
6,11,8,8,34222
6,11,9,0,3841
6,11,9,1,5797
6,11,9,2,8171
6,11,9,3,11314
6,11,9,4,14806
6,11,9,5,19486
6,11,9,6,24025
6,11,9,7,29263
6,11,9,8,34152
6,11,9,9,40577
6,11,10,0,3771
6,11,10,1,5727
6,11,10,2,8171
6,11,10,3,11174
6,11,10,4,15086
6,11,10,5,19345
6,11,10,6,23606
6,11,10,7,28914
6,11,10,8,34222
6,11,10,9,40578
6,11,10,10,46863
6,11,11,0,3771
6,11,11,1,5797
6,11,11,2,8381
6,11,11,3,11663
6,11,11,4,15086
6,11,11,5,19136
6,11,11,6,23606
6,11,11,7,28844
6,11,11,8,34012
6,11,11,9,40298
6,11,11,10,46304
6,11,11,11,52869
6,12,0,0,4050
6,12,1,0,3981
6,12,1,1,5936
6,12,2,0,4050
6,12,2,1,6146
6,12,2,2,9149
6,12,3,0,3771
6,12,3,1,6425
6,12,3,2,9149
