Ciudades,RutasExistentes,Nanosegundos
15,86,21251
15,87,21376
15,88,21092
15,89,20458
15,90,21799
15,91,21287
15,92,21619
15,93,21622
15,94,21676
15,95,20434
15,96,21349
15,97,22389
15,98,21835
15,99,22233
15,100,22590
15,101,22201
15,102,22116
15,103,23634
15,104,23514
15,105,22873
16,0,20212
16,1,20336
16,2,20484
16,3,21041
16,4,20324
16,5,20461
16,6,21115
16,7,20909
16,8,20411
16,9,20985
16,10,20933
16,11,21426
16,12,21618
16,13,21186
16,14,20919
16,15,21373
16,16,21337
16,17,21500
16,18,22361
16,19,21058
16,20,20726
16,21,20924
16,22,20800
16,23,22389
16,24,21540
16,25,20849
16,26,19782
16,27,21159
16,28,20689
16,29,20801
16,30,21020
16,31,20698
16,32,21082
16,33,20747
16,34,21352
16,35,21519
16,36,21400
16,37,20647
16,38,19918
16,39,20974
16,40,21237
16,41,20911
16,42,20565
16,43,21115
16,44,21438
16,45,21314
16,46,21205
16,47,21534
16,48,21535
16,49,21570
16,50,22120
16,51,21396
16,52,21223
16,53,21313
16,54,21632
16,55,21897
16,56,21852
16,57,22767
16,58,22380
16,59,21605
16,60,21229
16,61,22110
16,62,21929
16,63,21839
16,64,21908
16,65,21589
16,66,22209
16,67,22552
16,68,22335
16,69,22535
16,70,21532
16,71,21603
16,72,21897
16,73,22631
16,74,23672
16,75,22617
16,76,22844
16,77,23072
16,78,22778
16,79,23197
16,80,23674
16,81,23210
16,82,23018
16,83,22486
16,84,23784
16,85,22726
16,86,23660
16,87,23377
16,88,23593
16,89,24264
16,90,24002
16,91,23572
16,92,24338
16,93,23916
16,94,24127
16,95,23928
16,96,24404
16,97,23764
16,98,23786
16,99,24739
16,100,23017
16,101,24699
16,102,24137
16,103,24359
16,104,24356
16,105,25788
16,106,25821
16,107,24879
16,108,24986
16,109,24260
16,110,25242
16,111,25463
16,112,25349
16,113,25693
16,114,25341
16,115,26413
16,116,26499
16,117,25810
16,118,26127
16,119,26860
16,120,26451
17,0,23843
17,1,23294
17,2,24138
17,3,23271
17,4,23684
17,5,24905
17,6,22774
17,7,24284
17,8,24094
17,9,23295
17,10,24161
17,11,23197
17,12,23765
17,13,23487
17,14,23534
17,15,24313
17,16,22861
17,17,23406
17,18,23661
17,19,23769
17,20,23977
17,21,23844
17,22,23364
17,23,24474
17,24,23116
17,25,24024
17,26,24331
17,27,23622
17,28,24346
17,29,23071
17,30,22853
17,31,23484
17,32,23423
17,33,23609
17,34,23602
17,35,23802
17,36,23284
17,37,23876
17,38,23026
17,39,22736
17,40,23872
17,41,23519
17,42,25455
17,43,23573
17,44,23051
17,45,23250
17,46,24261
17,47,23432
17,48,24143
17,49,22931
